geoid,name,B01003001,"B01003001, Error"
14000US17031270500,"Census Tract 2705, Cook, IL",1690,257
14000US17031271200,"Census Tract 2712, Cook, IL",1214,203
14000US17031271300,"Census Tract 2713, Cook, IL",1261,247
14000US17031271400,"Census Tract 2714, Cook, IL",1353,244
14000US17031271500,"Census Tract 2715, Cook, IL",1483,285
14000US17031271800,"Census Tract 2718, Cook, IL",783,275
14000US17031280100,"Census Tract 2801, Cook, IL",6567,565
14000US17031280400,"Census Tract 2804, Cook, IL",1715,330
14000US17031280800,"Census Tract 2808, Cook, IL",1008,182
14000US17031280900,"Census Tract 2809, Cook, IL",1014,154
14000US17031281900,"Census Tract 2819, Cook, IL",5719,575
14000US17031282700,"Census Tract 2827, Cook, IL",2290,401
14000US17031282800,"Census Tract 2828, Cook, IL",1642,232
14000US17031283100,"Census Tract 2831, Cook, IL",3003,341
14000US17031283200,"Census Tract 2832, Cook, IL",1587,165
14000US17031283800,"Census Tract 2838, Cook, IL",3855,480
14000US17031290900,"Census Tract 2909, Cook, IL",4076,450
14000US17031291200,"Census Tract 2912, Cook, IL",2664,353
14000US17031291600,"Census Tract 2916, Cook, IL",1057,221
14000US17031292200,"Census Tract 2922, Cook, IL",2922,393
14000US17031292400,"Census Tract 2924, Cook, IL",2421,555
14000US17031292500,"Census Tract 2925, Cook, IL",4070,523
14000US17031300500,"Census Tract 3005, Cook, IL",2781,330
14000US17031300600,"Census Tract 3006, Cook, IL",3064,424
14000US17031300700,"Census Tract 3007, Cook, IL",4778,619
14000US17031300800,"Census Tract 3008, Cook, IL",4127,593
14000US17031300900,"Census Tract 3009, Cook, IL",4382,573
14000US17031301100,"Census Tract 3011, Cook, IL",2772,323
14000US17031301200,"Census Tract 3012, Cook, IL",3435,469
14000US17031301600,"Census Tract 3016, Cook, IL",5108,568
14000US17031301701,"Census Tract 3017.01, Cook, IL",3994,549
14000US17031301702,"Census Tract 3017.02, Cook, IL",4476,522
14000US17031301801,"Census Tract 3018.01, Cook, IL",3840,555
14000US17031301802,"Census Tract 3018.02, Cook, IL",3346,340
14000US17031301803,"Census Tract 3018.03, Cook, IL",5506,583
14000US17031310200,"Census Tract 3102, Cook, IL",1465,178
14000US17031310300,"Census Tract 3103, Cook, IL",1696,229
14000US17031310400,"Census Tract 3104, Cook, IL",1171,226
